g1,"rgb(166, 171, 211)"
JoaquinTeixeira,"rgb(87, 180, 157)"
diogomainardi,"rgb(128, 179, 195)"
TSEjusbr,"rgb(152, 178, 218)"
kaiquebritor,"rgb(225, 135, 154)"
RevistaTerca,"rgb(67, 181, 138)"
ONUBrasil,"rgb(186, 159, 191)"
Desesquerdizada,"rgb(75, 181, 145)"
foIha_sp,"rgb(90, 180, 159)"
OGloboPolitica,"rgb(167, 170, 209)"
RicaPerrone,"rgb(103, 180, 172)"
BoletimCoppolla,"rgb(74, 181, 144)"
NexoJornal,"rgb(205, 147, 173)"
jandira_feghali,"rgb(222, 137, 157)"
mariadorosario,"rgb(216, 140, 162)"
EduardoJorge,"rgb(184, 160, 194)"
marcelorubens,"rgb(208, 145, 170)"
RenovaMidia,"rgb(75, 181, 145)"
malvados,"rgb(220, 138, 159)"
marcelvanhattem,"rgb(78, 181, 149)"
silviolual,"rgb(224, 135, 155)"
Sen_Cristovam,"rgb(173, 167, 204)"
natalyneri,"rgb(235, 129, 145)"
MEC_Comunicacao,"rgb(153, 178, 219)"
blogdosakamoto,"rgb(224, 136, 155)"
AecioNeves,"rgb(147, 178, 214)"
tercalivre,"rgb(67, 181, 138)"
ronaldocaiado,"rgb(111, 180, 179)"
safbf,"rgb(234, 130, 146)"
ConversaAfiada,"rgb(216, 141, 163)"
JovemPanNews,"rgb(119, 179, 187)"
govbr,"rgb(110, 180, 178)"
aguinaldaosilva,"rgb(146, 178, 213)"
KennedyAlencar,"rgb(200, 151, 178)"
bicmuller,"rgb(213, 143, 166)"
marcofeliciano,"rgb(94, 180, 163)"
XadrezVerbal,"rgb(206, 147, 173)"
petrobras,"rgb(168, 170, 208)"
folha_poder,"rgb(175, 166, 202)"
lucianagenro,"rgb(218, 139, 161)"
lobaoeletrico,"rgb(122, 179, 190)"
luisnassif,"rgb(214, 142, 165)"
petracostal,"rgb(226, 134, 153)"
LeonardoBoff,"rgb(222, 137, 157)"
agencialupa,"rgb(196, 153, 182)"
psol50,"rgb(224, 135, 155)"
TerezaCrisMS,"rgb(81, 181, 151)"
CarvalhosaMo,"rgb(77, 181, 147)"
BandJornalismo,"rgb(161, 174, 215)"
rosana,"rgb(197, 152, 181)"
beltraomaria,"rgb(165, 172, 211)"
delucca,"rgb(230, 132, 150)"
raulchequer,"rgb(218, 139, 161)"
clapiclapiclapi,"rgb(213, 143, 166)"
correio,"rgb(169, 169, 208)"
Francischini_,"rgb(77, 181, 147)"
andretrig,"rgb(186, 159, 191)"
louieponto,"rgb(234, 130, 146)"
brumelianebrum,"rgb(224, 136, 155)"
alexandrekalil,"rgb(159, 176, 218)"
brunnosarttori,"rgb(214, 142, 165)"
radaronline,"rgb(158, 176, 218)"
VICEBRASIL,"rgb(222, 137, 157)"
jrguzzofatos,"rgb(79, 181, 149)"
revistaforum,"rgb(219, 139, 160)"
somosalianca,"rgb(66, 181, 137)"
JotaInfo,"rgb(170, 169, 207)"
brasil247,"rgb(216, 140, 163)"
anttrindade,"rgb(218, 140, 161)"
partidonovo30,"rgb(110, 180, 178)"
joicehasselmann,"rgb(118, 179, 186)"
jose_neumanne,"rgb(101, 180, 170)"
CBNoficial,"rgb(161, 174, 215)"
anaamelialemos,"rgb(99, 180, 168)"
carlosjordy,"rgb(68, 181, 138)"
davialcolumbre,"rgb(124, 179, 192)"
ECantanhede,"rgb(156, 177, 220)"
lucasrohan,"rgb(209, 145, 170)"
chico_psol,"rgb(218, 139, 160)"
aosfatos,"rgb(203, 148, 175)"
cynaramenezes,"rgb(230, 132, 150)"
SenadorKajuru,"rgb(126, 179, 194)"
Caixa,"rgb(154, 178, 220)"
Savagefiction,"rgb(229, 133, 150)"
FernandoHoliday,"rgb(87, 180, 157)"
NA,"rgb(233, 130, 147)"
g1politica,"rgb(163, 173, 213)"
congemfoco,"rgb(184, 160, 193)"
mauriciostycer,"rgb(185, 159, 192)"
lauraabcarvalho,"rgb(222, 137, 157)"
JorgePontual,"rgb(162, 174, 215)"
GMonteiroRJ,"rgb(71, 181, 142)"
lelispatricia,"rgb(221, 137, 158)"
CarolDeToni,"rgb(68, 181, 138)"
PauloMartins10,"rgb(68, 181, 139)"
LedaNagle,"rgb(126, 179, 194)"
Cecillia,"rgb(225, 135, 154)"
OlavoOpressor,"rgb(76, 181, 146)"
andreazzaeditor,"rgb(135, 179, 202)"
OsmarTerra,"rgb(79, 181, 149)"
NatuzaNery,"rgb(167, 170, 209)"
NA,"rgb(68, 181, 138)"
IvanValente,"rgb(225, 135, 154)"
alexnero,"rgb(201, 150, 177)"
AdvocaciaGeral,"rgb(144, 178, 211)"
sensoinc,"rgb(67, 181, 138)"
depheliolopes,"rgb(67, 181, 138)"
NA,"rgb(227, 134, 152)"
anapaulaaraujo,"rgb(166, 171, 210)"
prevtrabalho,"rgb(155, 178, 221)"
alvarodias_,"rgb(121, 179, 189)"
majorolimpio,"rgb(96, 180, 165)"
camposmello,"rgb(205, 147, 173)"
TVBrasil,"rgb(181, 162, 197)"
flaviaol,"rgb(201, 150, 177)"
FHC,"rgb(171, 168, 206)"
ricardovelez,"rgb(76, 181, 146)"
luizaerundina,"rgb(227, 134, 152)"
barbaragancia,"rgb(197, 152, 181)"
JornalismoWando,"rgb(227, 134, 152)"
revistatrip,"rgb(188, 158, 190)"
filipebarrost,"rgb(67, 181, 138)"
sbtjornalismo,"rgb(144, 178, 211)"
CulturaGovBr,"rgb(185, 160, 193)"
ItamaratyGovBr,"rgb(136, 179, 203)"
claudioedantas,"rgb(98, 180, 167)"
ReceitaFederal,"rgb(143, 178, 210)"
CorrupcaoMemes,"rgb(79, 181, 149)"
wilsonwitzel,"rgb(112, 180, 181)"
realsardenberg,"rgb(139, 179, 205)"
BancodoBrasil,"rgb(163, 173, 213)"
gilmarmendes,"rgb(167, 170, 209)"
lindberghfarias,"rgb(212, 143, 167)"
agenciapublica,"rgb(216, 141, 163)"
etironi,"rgb(163, 173, 214)"
vozdacomunidade,"rgb(201, 150, 177)"
luizguiprado,"rgb(227, 134, 152)"
CaboDaciolo,"rgb(147, 178, 213)"
elikatakimoto,"rgb(231, 131, 148)"
BuzzFeedNewsBR,"rgb(206, 147, 172)"
AiltonBenedito,"rgb(63, 181, 134)"
GeorgMarques,"rgb(219, 139, 160)"
RomeuZema,"rgb(106, 180, 174)"
AmendoncaMJSP,"rgb(79, 181, 149)"
Iadroes,"rgb(76, 181, 146)"
MussumAlive,"rgb(207, 146, 172)"
HaddadDebochado,"rgb(225, 135, 154)"
folhailustrada,"rgb(183, 161, 195)"
taoquei1,"rgb(64, 181, 135)"
Glauber_Braga,"rgb(231, 132, 149)"
amandafaudi,"rgb(224, 136, 155)"
LeilaneNeubarth,"rgb(163, 173, 213)"
lolaescreva,"rgb(236, 128, 144)"
mizanzuk,"rgb(226, 134, 153)"
JornalBSM,"rgb(63, 181, 134)"
luislacombereal,"rgb(67, 181, 138)"
MauricioRicardo,"rgb(179, 163, 198)"
Bob_Fernandes,"rgb(221, 137, 158)"
laurojardim,"rgb(165, 172, 212)"
meteoro_br,"rgb(226, 134, 153)"
alex_borges,"rgb(83, 181, 152)"
SoniaBridi,"rgb(180, 163, 197)"
VemPraRua_br,"rgb(92, 180, 162)"
henrybugalho,"rgb(221, 138, 158)"
moura_101,"rgb(84, 181, 154)"
zdoficial,"rgb(210, 144, 169)"
